id,club,city,state,contact_name,email,page_url,hook,status,sent_date,followup_date,response,badge_installed,notes
210,The Set Padel Haus,Doral,FL,,info@thesetpadel.com,https://www.padelcourtsfinder.com/courts/the-set-padel-haus,added your membership pricing ($459/mo tier) and verified details,ready,,,,,
224,Stadio Soccer,Miami,FL,,Info@StadioSoccer.com,https://www.padelcourtsfinder.com/courts/stadio-soccer,refreshed your listing with verified details,ready,,,,,
240,Xcel Padel,West Palm Beach,FL,,contact@xcelpadel.com,https://www.padelcourtsfinder.com/courts/xcel-padel,added your membership pricing and verified details,ready,,,,,SHARED inbox with Westlake (id 244) - send ONE email covering both
244,Xcel Padel Westlake,Westlake,FL,,contact@xcelpadel.com,https://www.padelcourtsfinder.com/courts/xcel-padel-westlake,added your Westlake membership pricing ($150-300/mo) and verified details,skip_duplicate,,,,,DUPLICATE of id 240 - do not email twice
245,Mouratoglou Academy Zephyrhills,Zephyrhills,FL,,,https://www.padelcourtsfinder.com/courts/mouratoglou-academy-zephyrhills,refreshed your listing with verified details,no_email,,,,,FORM_ONLY mouratoglou.com padel contact form
254,PADELHUB,Boston,MA,,hello@padelhubusa.com,https://www.padelcourtsfinder.com/courts/padelhub,"added your phone, Instagram, and facility details (35-ft ceilings, Adidas pro shop)",ready,,,,,also events@/sponsorships@
261,L'Hirondelle Club of Ruxton,Towson,MD,,info@lhirondelle.com,https://www.padelcourtsfinder.com/courts/lhirondelle-club-of-ruxton,refreshed your listing with verified club details,ready,,,,,
265,North Hills Club Inc,Raleigh,NC,,proshop@northhillsclub.com,https://www.padelcourtsfinder.com/courts/north-hills-club-inc,refreshed your listing with verified club details,ready,,,,,via Raleigh Tennis Assoc listing
266,Padel United Sports Club,Cresskill,NJ,,hello@PadelUnitedSportsClub.com,https://www.padelcourtsfinder.com/courts/padel-united-sports-club,"added your hours and wellness-Oasis details (sauna, cold plunge, mineral pool)",ready,,,,,
268,Englewood Field Club,Englewood,NJ,,info@englewoodfieldclub.org,https://www.padelcourtsfinder.com/courts/englewood-field-club,refreshed your listing with verified club details,ready,,,,,
292,Maketewah Country Club,Cincinnati,OH,Seana Hue (Membership & Mktg Dir),shue@maketewah.com,https://www.padelcourtsfinder.com/courts/maketewah-country-club,confirmed your three padel courts and added your contact details,ready,,,,,alt mbechtel@maketewah.com (GM Mark Bechtel)
294,Padel Square,Garfield Heights,OH,,info@padel-square.com,https://www.padelcourtsfinder.com/courts/padel-square,"added your phone, hours, and Ohio-first-club details",ready,,,,,
296,The Greens Country Club,Oklahoma City,OK,,contactus@thegreenscc.com,https://www.padelcourtsfinder.com/courts/the-greens-country-club,refreshed your listing with verified club details,ready,,,,,
322,PADEL PASO,El Paso,TX,,padelpaso@gmail.com,https://www.padelcourtsfinder.com/courts/padel-paso,refreshed your listing with verified details,ready,,,,,
338,Incredibowl Pickle & Padel,Mission,TX,,,https://www.padelcourtsfinder.com/courts/incredibowl-pickle-padel,refreshed your listing with verified details,no_email,,,,,no email; phone 956-585-2041 or IG @pickle.and.padel
339,RGV Padel & Pickleball Club,Mission,TX,Sebastian Arizola,rgvpadelclub@gmail.com,https://www.padelcourtsfinder.com/courts/rgv-padel-pickleball-club,added your pricing and verified details,ready,,,,,via USPA listing
340,Rancho Viejo Resort & Country Club,Rancho Viejo,TX,,,https://www.padelcourtsfinder.com/courts/rancho-viejo-resort-country-club,refreshed your listing with verified details,no_email,,,,,no published email; phone 956-350-4000
342,Mainland Sports Complex,San Antonio,TX,,info@sa-msc.com,https://www.padelcourtsfinder.com/courts/mainland-sports-complex,refreshed your listing with verified details,ready,,,,,
347,Giammalva Padel Club,Spring,TX,,Info@giammalva.com,https://www.padelcourtsfinder.com/courts/giammalva-padel-club,refreshed your listing with verified details,ready,,,,,
350,"PADEL PARK, INC.",West Jordan,UT,,info@padelparkut.com,https://www.padelcourtsfinder.com/courts/padel-park-inc,added your full membership pricing and drop-in rates,ready,,,,,domain differs from site URL - as published
352,Padel Plant,Richmond,VA,,hello@padelplant.com,https://www.padelcourtsfinder.com/courts/padel-plant,"added your phone, Instagram, and player review highlights",ready,,,,,
357,PURE Pickleball & Padel,Scottsdale,AZ,,info@purepickleball.com,https://www.padelcourtsfinder.com/courts/pure-pickleball-padel,refreshed your listing with verified details,ready,,,,,from shop contact page
359,Icon Padel Club,Aventura,FL,Julian Wortelboer,julian@iconpadelclub.com,https://www.padelcourtsfinder.com/courts/icon-padel-club,added your Instagram and rooftop-club details,ready,,,,,via USPA listing
360,The Gables Padel,Miami,FL,,manager@thegablespadel.com,https://www.padelcourtsfinder.com/courts/the-gables-padel,refreshed your listing with verified details,ready,,,,,
362,BullDog Padel Club,Orlando,FL,Jim Allan,play@bulldogpadel.com,https://www.padelcourtsfinder.com/courts/bulldog-padel-club,set up your page ahead of opening in Lake Nona,ready,,,,,via USPA listing; club is coming soon
371,Padel39 East Austin,Austin,TX,,eastaustin@padel39.com,https://www.padelcourtsfinder.com/courts/padel39-east-austin,refreshed your listing with verified details,ready,,,,,alt help@padel39.com
378,Rancho Valencia,Rancho Santa Fe,CA,,tennis@ranchovalencia.com,https://www.padelcourtsfinder.com/courts/rancho-valencia,added your padel pricing and program details,ready,,,,,padel under Tennis Pro Shop; alt concierge@ranchovalencia.com
379,The King of Padel,San Antonio,TX,,info@thekingofpadel.com,https://www.padelcourtsfinder.com/courts/the-king-of-padel,corrected your listing to the San Antonio location (314 Nolan St) with your real hours and contact info,ready,,,,,shown for general + partnership inquiries
380,South End Racquet & Health Club,Torrance,CA,,info@southendclub.com,https://www.padelcourtsfinder.com/courts/south-end-racquet-health-club,"added your phone, hours, and club history",ready,,,,,
387,The Club at Boca Pointe,Boca Raton,FL,,bocapointeinfo@heritagegolfgroup.com,https://www.padelcourtsfinder.com/courts/the-club-at-boca-pointe,refreshed your listing with verified club details,ready,,,,,Heritage Golf Group-managed
390,Addison Reserve Country Club,Delray Beach,FL,,admin@addisonreserve.cc,https://www.padelcourtsfinder.com/courts/addison-reserve-country-club,refreshed your listing with verified club details,ready,,,,,
391,Ola By Nox,Doral,FL,,,https://www.padelcourtsfinder.com/courts/ola-by-nox,"added your hours, Instagram, and panoramic-court details",no_email,,,,,no email; IG DM @olaclubs or phone 305-848-4811
398,Fisher Island Club,Miami Beach,FL,,membership@fisherislandclub.com,https://www.padelcourtsfinder.com/courts/fisher-island-club,refreshed your listing with verified club details,ready,,,,,membership dept
403,Epic Athletic Club,Sunrise,FL,Mauricio Chediak,hello@epicathleticclub.com,https://www.padelcourtsfinder.com/courts/epic-athletic-club,refreshed your listing with verified details,ready,,,,,
405,10by20 Padel Wellington,Wellington,FL,Manu Caracotche,Manuel.caracotche@10by20.com,https://www.padelcourtsfinder.com/courts/10by20-padel-wellington,set up your page ahead of opening with your seven-court details,ready,,,,,SAME contact as id 155 - one email can cover both 10by20 locations
425,Philadelphia Cricket Club,Flourtown,PA,Rich Wade (Dir. Squash & Padel),rwade@philacricket.com,https://www.padelcourtsfinder.com/courts/philadelphia-cricket-club,refreshed your listing with verified club details,ready,,,,,"from Dec 2022 club PDF, may be stale; alt jgouet@philacricket.com (Head Padel Pro)"
437,Brookhaven Country Club,Farmers Branch,TX,Josh McDonald (GM),brookhaven@invitedclubs.com,https://www.padelcourtsfinder.com/courts/brookhaven-country-club,refreshed your listing with verified club details,ready,,,,,
439,The Courthouse,New Braunfels,TX,Hugo Flores (Coach Hugo),h.flores@thecourthouse.net,https://www.padelcourtsfinder.com/courts/the-courthouse,refreshed your listing with verified details,ready,,,,,published for coaching inquiries
440,Boar's Head Sports Club,Charlottesville,VA,,,https://www.padelcourtsfinder.com/courts/boars-head-sports-club,added your real court pricing ($32-45/hr) and player review highlights,no_email,,,,,FORM_ONLY boarsheadresort.com/contact-us; phone 434-972-6083; padel specialist Marta Besga
